,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volume,,,,,,,,,,
35.05783854,34.90196506,34.91614909,34.92699002,34.95185221,35.00281793,35.26247287,35.25842448,34.68652669,34.45263129,34.21146774,33.81329346,33.71723938,33.5872345,33.5157814,33.39590073,33.30116272,33.35452652,33.59411621,33.90732574,34.1645546,34.2384758,34.4584198,34.57405472,34.77431488,34.81967545,34.94024277,34.96554565,34.97176361,35.04926682,35.12422562,34.84439087,34.3428688,33.98574829,33.58564758,33.4421196,33.11440659,33.0976181,32.64253235,32.5877533,32.48988724,32.39815903,32.29681778,33.03321457,33.35923767,33.54866791,33.61579514,33.78705978,33.80120087,33.91907883,34.0838356,34.09379959,34.09048462,34.07351303,34.08384323,34.14368057,34.24975967,34.03813553,32.77077484,32.37445831,32.19784164,32.05456161,31.99858475,31.93924713,31.80316734,31.75091743,31.82420921,32.11699295,32.40456772,32.6583252,32.88810349,33.05960083,33.34592819,33.47589874,33.5443573,33.54576492,33.55485916,33.56269836,33.59273529,33.68505096,33.2845459,32.64034271,32.3777504,31.97990417,31.61998177,31.60656548,31.58663559,31.33605957,31.24062157,31.22809601,31.183321,31.8146286,32.00389481,32.21522522,32.2497139,32.35731125,32.51059723,32.75143814,32.94548798,32.99608231,33.08533859,33.14920807,33.3181839,32.04219818,31.68316269,31.3876133,31.26705933,31.14462852,31.06024933,31.01268005,30.51654053,30.53128624,30.59982491,31.02655602,31.31243134,31.88197136,32.00642014,32.1517868,32.22577286,32.38204575,32.57129669,32.57204437,32.69386673,32.68886566,32.69455338,32.73944473,32.81206894,32.51848602,31.89511871,31.14050484,31.00199509,30.87421799,30.84303856,30.72540474,30.64275551,30.70257378,30.99119186,31.34323311,31.48432732,31.52289772,31.8057518,31.99313164,32.10379028,32.17459488,32.16763687,32.24246597,32.41844559,32.45715332,32.60262299,32.65677643,32.66151428,32.65973663,31.88864136,31.46741676,30.95766449,30.78788567,30.63514519,30.58935547,30.66523933,31.11257362,31.33496094,31.82041168,31.91011047,31.92269135,32.10196686,32.11400223,32.11562729,32.34209824,32.4310379,32.45030212,32.52582932,32.53006363,32.16001892,31.8511467,31.23634148,31.08885956,31.06643486,30.87789536,30.71968842,30.63559532,30.50115395,30.84610558,31.164505,31.31305504,31.55626106,31.67775345,31.71041489,31.84972382,0.23,,,,,,,,,,
34.29387478,34.23780924,34.18847005,34.1934668,34.22480686,34.25703776,34.26144857,34.28874132,34.29285699,33.83981662,33.26494598,33.00985718,32.27718353,32.08222198,31.99642181,31.96639824,31.91537666,32.41257095,32.56365967,32.67856598,32.84334564,32.86398315,32.9241066,33.15216064,33.15724945,33.13473129,33.20497513,33.35739517,33.32250214,33.32398987,33.45536423,33.20699692,32.48547363,32.24000931,31.80168152,31.64663696,31.49925232,31.20736694,31.14401436,31.13222694,31.09333801,31.40777206,31.72211647,32.08316422,32.29204178,32.31406021,32.39500809,32.51176453,32.62850952,32.68211746,32.6134758,32.60139847,32.53993988,32.50650406,32.49766922,31.98250198,31.55956841,31.17383957,30.96011353,30.67724609,30.40657234,30.347929,30.25411606,30.30685806,30.68961716,30.84663582,31.02820396,31.04600716,31.32679176,31.33569527,31.48045349,31.47878075,31.50219345,31.51052666,31.55251884,31.53532791,31.12902641,30.70786285,30.38798904,30.12238693,29.99947548,29.82438278,29.81267548,29.80565453,30.24534988,30.44776154,30.93585014,30.94703865,30.97703743,31.25227547,31.25908279,31.27616501,31.37752342,31.3645668,31.4592247,31.55721855,31.31439972,30.9236412,30.58088303,30.26532364,29.86807823,29.4863472,29.4356041,29.42755127,29.40881157,29.413517,29.8703804,30.06151009,30.42042923,30.43621254,30.86317635,31.12455177,31.08127785,31.08243752,31.08992004,31.08557892,31.16765976,31.16862679,30.04630852,29.92413139,29.61094093,29.48569679,29.30626488,29.2397995,29.23524475,29.51006889,29.85245705,30.0830822,30.24878311,30.45591927,30.72389412,30.75402069,30.76755333,30.94369698,30.93365288,31.0976429,31.12247849,31.17261124,31.18236351,31.31702995,31.33577919,31.09404755,30.46093559,29.79359436,29.61243439,29.43870354,29.38223648,29.32759476,29.10339546,29.09767723,30.19444275,30.48411942,30.53116989,30.58882141,30.83777046,31.09856606,31.17481613,30.49184418,30.10544395,29.84470177,29.73794365,29.40623665,29.54735184,30.09897995,30.33457184,30.4300766,30.52580452,30.98379898,31.1171627,31.12411499,31.31359291,31.33812332,31.38337517,30.29475212,29.87033653,29.65694046,29.6141777,29.44685173,29.53512573,30.09874725,30.57144356,30.73218346,30.83580589,30.84501457,31.07663536,31.09994125,31.27755356,31.32631111,0.25,,,,,,,,,,
34.05492296,34.09764757,34.18297201,34.19747396,34.24254232,34.24466037,34.2453342,34.26403646,34.26078776,33.95803168,32.99356079,32.92059708,32.78766251,32.77769852,32.78253937,33.19716644,33.33350754,33.38519287,33.46123123,33.50216293,33.5085144,33.60355759,33.6124115,33.62335968,33.65240097,33.7090683,33.75930405,33.82693863,33.00979614,32.89627457,32.79742813,32.71654129,32.69153214,32.67668533,32.80014801,32.9629097,33.112854,33.25439453,33.2999382,33.35066223,33.42251587,33.48145676,33.57336426,33.62576294,33.7008934,33.76578903,33.30987549,33.0102005,32.91255569,32.64445496,32.64487457,32.66589737,32.91883087,32.9835968,33.17979431,33.25073624,33.3620224,33.37210464,33.38637543,33.38261032,33.38699341,33.41666794,33.46190262,33.58583069,33.61392975,33.57449722,33.17781067,32.94493484,32.81536102,32.77458954,32.71902084,32.70166397,33.02615738,33.13713074,33.18692398,33.21599579,33.22663498,33.24228668,33.26345062,33.28699875,33.3416481,33.41245651,33.47174072,33.5285759,32.88594437,32.75459671,32.67816162,32.55718613,32.55162048,32.55474091,32.97916412,33.07834625,33.1581955,33.20087814,33.20627594,33.22409821,33.23937607,33.32886124,33.48898697,33.50636292,33.55903625,33.58286667,33.35712814,33.05171967,32.59837723,32.56402206,32.53816223,32.53125381,32.52601624,32.71142197,32.98670578,33.01177597,33.03380966,33.0610199,33.06435013,33.07447815,33.27716446,33.32500076,33.35607147,33.37604904,33.38628387,33.26072311,32.91903687,32.8887558,32.77145004,32.66918945,32.63585663,32.55368423,32.56349945,32.69672394,32.84600067,32.89568329,32.93296814,32.94007111,32.96200943,32.95132446,32.97846222,33.08781433,33.10321426,33.12569046,33.16006088,33.22748566,33.30166626,33.00125504,32.88252258,32.79642868,32.67470169,32.6211586,32.6066246,32.57723618,32.58149719,32.72732925,32.74873734,32.87706757,32.89990234,32.91978455,32.95318604,33.0387764,33.04387665,33.04851532,33.05217743,33.12905884,33.14619446,33.19235611,33.15275574,33.00302124,32.83478165,32.71726608,32.41114807,32.41003418,32.41941833,32.44038391,32.43598557,32.60131836,32.66219711,32.78380585,32.85794449,32.88298798,32.94482422,32.97415543,33.13318253,33.1360321,33.15143967,33.22259521,33.25034332,33.25984192,33.24030685,32.85904312,0.23,,,,,,,,,,
32.62354275,32.71012261,32.74406359,32.80871745,32.83656684,32.94226888,32.90370443,32.92299045,32.92224392,32.96607096,33.14891815,32.6587944,31.90545845,31.6810627,31.45102501,31.30290604,31.30547142,31.40018654,32.12369156,32.34074402,32.37458801,32.49608994,32.59876251,32.70609665,32.72332764,32.77048111,32.83169937,32.94529724,32.88776398,32.34478378,31.85247803,31.62285423,31.42837715,31.31917572,31.22688675,30.93455696,30.93445587,31.33927536,31.53727913,31.72658348,31.84387589,32.16158676,32.2322464,32.31797028,32.34870529,32.37036896,32.39328003,32.44549561,32.46015167,32.47903442,31.80068779,31.45218277,31.12268066,31.01438141,30.85601616,30.71498108,30.9804821,31.22257423,31.37137604,31.59999275,31.74785995,31.9172821,31.94623947,32.03075027,32.09682465,32.0773735,32.14499664,32.15162277,32.16987991,32.20569229,32.23636246,32.24290466,31.85868073,30.70764542,30.52731895,30.49185371,30.37015152,30.32469368,30.31197357,30.31533051,30.6370697,31.2977314,31.43958473,31.55717468,31.65382004,31.66172028,31.79488373,31.84087753,31.86440468,32.00773621,32.05169296,32.01682281,32.08678055,31.86019135,31.44173241,31.1942997,30.95176125,30.69556808,30.14263153,29.97899246,29.97010231,30.15792274,30.54701996,31.21181107,31.33409882,31.45692825,31.52948189,31.58269691,31.5798912,31.60501289,31.76430511,31.79869652,31.81342697,31.86416817,31.88025475,31.87890244,31.96351433,31.27134132,31.19239235,30.86982346,30.51821327,30.40712357,29.94169617,29.95124054,30.45322609,30.65513611,30.97745132,31.13398743,31.4304657,31.58380699,31.61235619,31.6439743,31.71498299,31.75304031,31.80766487,31.79911041,31.7514782,31.75173569,31.78054428,31.79416466,31.89398956,31.38649178,30.86411285,30.64569855,30.47901535,30.37560463,30.08395004,30.00721169,30.01005745,30.51517105,30.71554947,30.88169098,31.04535103,31.293396,31.34771919,31.39313507,31.47693634,31.57436562,31.64771843,31.66900253,31.67529869,31.67752075,31.71787834,31.73475075,31.78027153,31.0463047,30.78637314,30.66184807,30.49715042,30.32447243,30.24319267,30.06069756,30.08397102,30.84982109,30.98757935,31.05704117,31.20277405,31.27687263,31.39178658,31.40525627,31.57960129,31.63617706,31.65901756,31.70023918,31.72707558,31.7440033,31.77644157,31.81796455,0.33,,,,,,,,,,
31.04470812,30.96100152,31.01643772,31.26597222,31.52966688,31.86428385,32.05978407,32.26592122,32.30727973,32.41423828,32.4541626,32.52886581,32.63408279,32.67042542,32.67506409,32.71296692,32.83989334,32.88970947,32.89144516,32.88485336,32.82636261,32.48149872,31.99041367,31.25853348,31.11931229,30.9597683,30.87266731,30.66479874,30.5713501,30.57501793,30.45023727,30.41123009,30.33419037,31.00707626,31.26263237,31.35858154,31.47750473,31.53793335,31.71338844,31.79340172,32.00174713,32.01689911,32.07548904,32.13400269,32.19482422,32.19005203,32.22442627,32.34494019,32.37062836,32.41420364,32.43795395,32.44188309,32.27709579,30.9970417,30.81632614,30.73428345,30.58946991,30.56770325,30.41238213,30.33337021,30.29380608,30.28277588,30.32441521,30.69770813,30.8831768,30.99585915,31.1873951,31.32134056,31.41279411,31.53021812,31.54427338,31.58994484,31.66558075,31.7034111,31.76106644,31.78628349,31.89319038,31.89368439,31.82222939,31.89756584,31.94363213,32.03371429,32.11072159,32.01990509,31.64067459,31.57588768,31.2257328,30.89359093,30.54728317,30.40143585,30.36471939,30.21485519,30.2507515,30.44724464,31.1383419,31.19783783,31.24718857,31.30615807,31.60410118,31.6248703,31.62916946,31.62480164,31.67178726,31.7681179,31.80154419,31.94443321,31.97353363,31.97355652,31.9472847,31.97851181,32.01799774,31.27063179,30.89628792,30.71438217,30.53516197,30.34407997,30.18856049,30.15262794,30.11289215,30.05479431,30.0118351,29.9469471,30.11857605,30.51679039,31.04429817,31.13366508,31.14151764,31.17396164,31.26377869,31.40940857,31.40826988,31.5014782,31.51753426,31.58321953,31.58619499,31.59707832,31.73203659,31.88121414,31.80597115,31.38749313,30.91022301,30.76218414,30.61673546,30.17381287,30.0456543,29.88860703,29.7915802,29.78295517,29.74534225,29.90595055,30.2458477,30.37241364,30.67805862,30.7125721,30.81472397,30.91823769,31.12956619,31.14775848,31.16363525,31.20316505,31.3850708,31.50307274,31.6387825,31.64383698,31.62374306,31.61615944,31.81376648,31.82848358,31.83106995,31.4335804,31.40096092,30.97689819,30.80760193,30.71457481,30.69532204,30.5640049,30.32158279,29.95393181,29.95013809,30.00876236,30.42283249,30.54406738,30.87392616,31.18187332,31.23648834,31.39814949,31.41133308,31.51852608,0.33,,,,,,,,,,
33.35905924,33.33747721,33.54122938,33.93784288,33.96282118,33.87577799,33.83067057,33.13266493,32.08679905,31.8865408,31.76762199,31.57440186,31.42085457,31.22648811,31.13926697,31.15497208,32.01533127,32.20661926,32.4086647,32.53263092,32.63164902,32.86810684,32.97816467,32.99809647,33.02876663,33.04899216,33.07454681,32.75811005,32.29886246,31.99759674,31.67421913,31.59456062,31.17464066,31.14310074,31.04272079,31.00831985,30.9756279,31.01417732,31.88414574,31.96012306,32.15143967,32.31830215,32.6177063,32.63832474,32.778759,32.81803894,32.87350845,32.87596893,32.89541245,32.85239029,32.72100449,32.56523895,32.24136734,32.0718689,31.36261368,31.25631905,31.17588806,31.09019661,31.02958679,31.03125191,31.69541931,31.9937458,32.17330933,32.23297501,32.52159882,32.6088028,32.67832565,32.81077194,32.81462097,32.82570267,32.8052063,32.79509354,32.79577637,32.53889084,32.20074844,31.50333214,31.36544991,31.20577621,31.11578751,31.08519745,31.04780388,30.95032883,31.02295685,31.36079788,31.51231384,31.69174194,31.8234787,32.03659821,32.30319595,32.3410759,32.47532272,32.5026474,32.55310822,32.59384918,32.70069122,32.71085358,32.71550751,32.70637512,32.41287231,32.13541794,31.85367966,31.23023605,31.00704956,30.95916748,30.78285027,30.75860977,30.85957527,31.31835747,31.59439278,31.7375164,31.99127769,32.09347916,32.20044708,32.40833664,32.4537735,32.5537796,32.61006546,32.62908936,32.70339966,32.62498474,32.14690399,31.76884079,31.45079231,31.30550766,31.19980431,30.82554626,30.73598289,30.72930145,30.77402878,31.09669685,31.45513725,32.02787781,32.25414658,32.27686691,32.31225586,32.39003754,32.5187645,32.52466965,32.52919388,32.53600311,32.54812241,31.98357582,31.82075691,31.66548347,31.46949768,31.24388695,31.13546181,30.99156189,30.96768951,30.89013481,30.9349308,31.35392761,31.55903053,32.01142883,32.14507675,32.21388245,32.24491501,32.31877136,32.34732819,32.46768951,32.46479034,32.46372986,32.4634285,32.4431839,32.23638916,31.98205185,31.37697601,31.2730732,31.15160751,31.08279037,31.02531052,30.94799614,30.8966465,30.89332581,31.19304085,31.41776085,31.67548561,31.75662994,31.92082214,32.23530197,32.35490417,32.41823578,32.44596863,32.5116272,32.52461243,32.59152603,32.6519928,32.61499786,0.35,,,,,,,,,,
34.37140842,34.38041667,34.43287001,34.40188585,34.42434136,34.47752279,34.48056424,34.5950434,34.54161133,34.22960829,33.02670288,32.75845337,32.49425888,32.41628265,32.19532776,32.06660461,31.63336945,31.57607079,31.63694,31.93615532,32.23413086,32.77614212,32.98876953,33.01894379,33.08703995,33.26718521,33.31705093,33.35596085,33.39992905,33.47360229,33.76317978,33.79368973,33.79548645,33.80235291,33.82647324,33.8518486,34.067379,34.06049347,34.18037033,34.13049698,34.11379623,33.88302231,33.48207092,32.74629974,32.40759659,32.27737427,32.24921417,32.01000214,31.73323822,31.57279778,31.26891136,31.15118027,31.10704041,30.92569542,30.91463089,31.33068657,31.69441795,31.81274223,31.89264488,32.07219696,32.09738922,32.55831909,32.66434097,32.81856155,32.93741226,33.04388046,33.16132355,33.36210632,33.49383163,33.54232407,33.87852859,34.04131317,34.01998901,34.07194519,34.12163162,34.12284851,34.10533905,33.8274231,33.67866898,33.46292877,33.30904007,33.03493881,32.65567398,31.95944595,31.9034996,31.8429718,31.71579552,31.52690315,31.35923004,31.15744019,30.95292664,30.80549431,30.8321991,30.87748146,30.96473312,31.27731514,31.46332932,32.03580475,32.12168121,32.21744537,32.40114975,32.50224304,32.64651489,32.8639946,33.21139145,33.37089157,33.54011154,33.60097885,33.81924057,33.94881439,33.96873474,34.0078392,34.0222702,34.05964279,34.05194473,34.05981445,34.15539551,34.18412399,33.85105133,33.58598328,33.2840271,32.17314148,32.08460617,32.17465973,32.14239502,32.13134003,32.00444794,31.37171745,31.10689735,31.05251694,31.00767899,31.00160408,30.92057991,31.01312637,31.33207703,31.48119736,31.70238113,32.31923294,32.45454025,32.74167633,32.84019852,32.95243454,33.19509506,33.17869568,33.40565109,33.49224472,33.539814,33.49830627,33.45405579,33.47437668,33.52497864,33.53217697,33.57183075,33.69794083,33.74451447,32.98653412,32.74569321,32.46437454,32.37464905,32.14751053,31.911129,31.56335068,31.50312805,31.38607407,31.34983826,31.29193306,31.02154541,30.90550041,30.77139091,30.85127831,31.07490158,31.77391624,31.46098137,32.26098633,32.07018661,32.09946823,32.27744675,32.47156525,32.92296219,33.0995903,33.20176697,33.35574341,33.3704834,33.42766571,33.72320175,33.74345779,33.70368958,33.70490646,0.5,,,,,,,,,,
31.27053928,31.3221951,32.08486979,32.22139865,32.40365777,32.42330295,32.60364583,32.66976997,32.89607639,32.94791233,32.97643661,33.10212708,33.19970322,33.29988098,33.41613007,33.58636475,33.71048737,33.75232697,33.78259277,33.90286636,33.90772247,33.90876007,33.88901901,33.64400101,33.02741623,32.71738815,32.34173584,31.58286095,31.30216217,31.11495209,30.99753761,30.89443207,30.71207619,30.66851044,30.18286133,30.19186211,30.09098053,30.08914566,30.06741714,30.08206749,30.46822548,30.88906288,31.18467522,31.58936501,31.8399334,32.50283813,32.53747559,32.60195923,32.69519424,32.78063202,33.08168793,33.14482498,33.25556183,33.38932037,33.32607651,33.29906082,33.21022415,33.28085327,33.35057831,33.43775558,33.43934631,33.24879837,32.91759872,32.40624619,31.87067795,31.4635334,31.19304466,30.72544861,30.61059952,30.46243477,30.38131905,30.20697975,30.20717812,30.15866852,30.02655983,30.03697014,30.01939201,30.05099487,30.101614,30.4955616,31.25187302,31.53475952,31.61294556,31.82437325,31.85330772,32.04426575,32.43446732,32.52312851,32.63760757,32.66222,32.73025894,32.78661728,32.81480408,32.85718155,33.00768661,33.00848389,33.02025986,33.15380859,33.19394302,33.10463715,32.14361572,31.9431591,31.51457405,31.29868889,31.27035713,30.63895226,30.62510872,30.46892548,30.37799072,30.31165886,30.29698181,30.29213715,30.24508286,30.47864532,30.89762878,31.03373528,31.6340313,31.77793121,32.03316116,32.24006653,32.35176468,32.42741394,32.50168991,32.80425262,32.82080841,32.82810593,32.84147263,32.87641525,32.99935532,33.01564789,33.06985855,33.04178238,32.73809814,32.23801041,32.10175323,31.8278389,31.76007462,31.53206253,31.31438446,31.21010017,30.95223045,30.92424202,30.87696266,30.78873634,30.70941734,30.69486237,30.63048553,30.69504929,30.70476151,30.99726105,31.22616577,31.23559952,31.44021416,31.92156982,32.07020187,32.09803009,32.23229218,32.3671608,32.60069656,32.62801361,32.6661377,32.69303894,32.78306961,32.85968399,32.8794899,32.93304825,32.97126007,32.9744606,32.9794693,32.97637177,32.87520218,32.49772263,32.25708389,31.87541389,31.72529984,31.42238426,31.09721947,30.78172493,30.56084251,30.54599762,30.43182755,30.29871559,30.27934074,30.25460052,30.27220154,30.27392197,30.28616142,30.76873589,0.52,,,,,,,,,,
31.80701931,31.69638129,31.66901693,31.64978082,31.48000543,31.65381727,31.8093023,31.81741319,31.80018989,31.70569661,31.67736053,31.67703438,31.68037796,31.76621437,32.14859772,32.20339203,32.83536148,32.89257431,32.9782753,33.02060318,33.01429749,33.07130051,33.26951981,33.26435852,33.31752396,33.32169342,33.25485611,33.26662827,32.26628113,32.05844498,31.98220634,31.79109573,31.74122238,31.68858528,31.45610619,31.42662811,31.36301231,31.35297012,31.35744286,31.22656631,31.22061157,31.33767891,31.60258293,31.78401184,31.99083138,32.12750244,32.30857468,32.65666962,32.67028046,32.71251297,32.79659271,32.83403778,32.89854431,32.95598221,32.98913574,33.14128113,33.16186142,33.15263367,33.0913353,33.20248032,33.28864288,33.28132629,33.28018951,33.2382431,33.24541092,33.03030777,32.02689743,31.89613152,31.68942642,31.64581108,31.61466217,31.50970078,31.46053314,31.35220146,31.11333656,31.15488815,31.2121067,31.20191002,31.19570732,31.23814392,31.17716599,31.37742996,31.6267128,31.78101921,31.91916847,32.02238846,32.13808441,32.44976807,32.46649551,32.48458099,32.53867722,32.71292877,32.72374344,32.7855835,32.88235474,32.89605331,32.93770981,32.96999741,32.97056961,33.01334,33.05651093,33.06628418,33.08249664,33.16710663,33.20783234,33.2650032,33.20941162,32.9215889,32.6358223,31.91098022,31.71957397,31.66161728,31.48991776,31.43902588,31.3157711,31.14706993,31.12162781,31.12887573,31.13054657,31.13928604,31.04189873,31.05306053,31.08695984,31.08387566,31.12493134,31.28551483,31.47572136,31.81377029,31.90507126,31.9897728,32.12027359,32.12788391,32.21394348,32.32051468,32.41390991,32.43320465,32.52557373,32.56858826,32.62359238,32.64764404,32.68899536,32.71919632,32.72370148,32.82910538,32.85995102,32.86323547,32.87648392,32.88990784,32.90142059,32.91529465,33.03972626,32.90610123,32.46130371,32.26617813,32.08399963,31.86644745,31.66019058,31.33430099,31.27105331,31.25435066,31.2365551,31.27212906,31.27059937,31.06427383,31.05282593,31.05827522,31.08644104,31.08390236,31.0907917,31.74771118,31.91699409,32.05473328,32.11698914,32.11878204,32.17699432,32.30502319,32.38062668,32.54463196,32.57447052,32.59409332,32.65829086,32.66706085,32.74007797,32.76071548,32.81289291,32.81584167,32.95367813,32.92919922,0.51,,,,,,,,,,
34.43015625,34.43794488,34.44085612,34.44421766,34.46023655,34.49156684,34.49640625,34.5011263,34.50047526,34.49892036,33.54775238,33.13886642,32.91572952,32.54767609,32.38258362,32.29013062,32.17036438,31.93298912,31.80389214,32.14061737,32.43782425,32.45694351,32.72836685,33.20062256,33.5583992,33.65962982,33.65290833,33.65160751,33.71585464,33.73408508,33.87880707,33.91321182,34.2783699,34.38444901,34.42650223,34.49238205,34.52080917,34.54445267,34.55065155,34.59165573,34.589077,34.57559204,34.52010345,33.47700119,33.01528931,32.8839035,32.52097321,32.33774948,32.22963715,32.17901611,31.65836716,31.48930168,31.4193821,31.37206459,31.37253761,31.38313484,31.73539734,31.96276283,32.14992523,32.3801384,32.65233231,32.72377014,32.89010239,33.36507797,33.39259338,33.54980087,33.58547211,33.55809784,33.92759705,34.02453232,34.10968399,34.13129807,34.17773438,34.19752502,34.20531082,34.28985596,34.28913879,34.28783798,34.25215912,33.81873322,33.42108536,33.03275681,32.31441879,32.00659561,31.8707428,31.76366615,31.6315918,31.43118095,31.3307209,31.29836273,31.25618553,31.249403,31.19555283,31.66247368,31.90027046,32.10489655,32.32548141,32.55439758,32.8994751,32.83929443,32.87865829,32.83592606,32.82640457,32.84995651,33.17469025,33.58197784,33.71369171,33.73629761,33.74120712,33.7735405,33.87253189,33.88679504,33.92882156,33.9402771,33.98218155,33.99333191,34.05209351,33.94619751,33.57435989,33.3016243,32.96934891,32.71842575,32.33636475,32.1505394,31.71026421,31.68385506,31.5188179,31.47173691,31.38916588,31.21176147,31.06258202,31.03103828,31.08007431,31.10584068,31.35276794,31.54560471,31.68299103,31.86374092,32.47473145,32.67905807,32.84912109,32.86619186,32.95619202,33.12905884,33.35641098,33.48954391,33.62900925,33.66615295,33.6781044,33.68460846,33.71864319,33.81941986,33.81915283,33.82535553,33.82867432,33.80879211,33.78577042,33.5933342,32.9277916,32.77604675,32.49268341,32.19791031,32.05207062,31.9510746,31.57186699,31.43215752,31.38666153,31.30155754,31.23263931,31.16851234,31.20102692,31.13099861,31.14341164,31.21060944,31.49131584,31.54929924,32.06526947,32.13721085,32.35472107,32.46418762,32.7320137,32.75346375,33.13531876,33.1631279,33.30285263,33.41667557,33.44380188,33.52997208,1.99,,,,,,,,,,
